comparison,source,est,lo,hi,p_incoherence
SPAQ,direct,0.268778302,0.25125158,0.287275923,
SPAQ,indirect,0.159308132,0.099901871,0.252639523,
SPAQ,network,0.253754532,0.237466602,0.271092855,0.02805
SPAS / SP (monthly),direct,0.389677416,0.31153027,0.487046536,
SPAS / SP (monthly),indirect,0.31511259,0.22143618,0.448391302,
SPAS / SP (monthly),network,0.366602258,0.303272818,0.443535652,0.3194
DHAPQ,direct,0.042485776,0.030706851,0.058726272,
DHAPQ,indirect,0.368096461,0.296514677,0.456668025,
DHAPQ,network,0.188523586,0.157647371,0.225465265,0.00001
ASAQ,direct,0.254139803,0.184760345,0.350750269,
ASAQ,indirect,0.504412162,0.351615895,0.725432737,
ASAQ,network,0.324897526,0.255700596,0.411414575,0.0059
SP (bimonthly),direct,0.5478,0.4539,0.6611,
SP (bimonthly),indirect,2.8924,0.8428,9.9267,
SP (bimonthly),network,0.5265,0.4353,0.6368,0.0074
ASAQ (bimonthly),direct,0.7153,0.5643,0.9067,
ASAQ (bimonthly),indirect,0.3981,0.1734,0.9137,
ASAQ (bimonthly),network,0.6844,0.5448,0.8597,0.1838
